end_date,link,location,name,season,start_date,tour,year,tid
Oct 24 2004,,"Magnolia GC, Lake Buena Vista, Florida",FUNAIClassicattheWALTDISNEYWORLDResort,2004,Oct 21 2004,PGA,2004,FUNAIClassicattheWALTDISNEYWORLDResortPGA2004
Oct 31 2004,https://www.pgatour.com/tournaments/valspar-championship/past-results.2004.html,"Westin Innisbrook (Copperhead), Palm Harbor, Florida",ChryslerChampionship,2004,Oct 28 2004,PGA,2004,ChryslerChampionshipPGA2004
Oct 7 2018,https://www.pgatour.com/tournaments/safeway-open.html,"Silverado Resort and Spa North, Napa, CA",SafewayOpen,2019,Oct 4 2018,PGA,2018,SafewayOpenPGA2019
Nov 7 2004,https://www.pgatour.com/tournaments/tour-championship/past-results.2004.html,"East Lake GC, Atlanta, Georgia",THETOURChampionshippresentedbyCoca-Cola,2004,Nov 4 2004,PGA,2004,THETOURChampionshippresentedbyCoca-ColaPGA2004
Nov 9 2004,,"Grayhawk GC (Raptor), Scottsdale, Arizona",TommyBahamaChallenge,2004,Nov 9 2004,PGA,2004,TommyBahamaChallengePGA2004
Nov 14 2004,https://www.pgatour.com/tournaments/qbe-shootout/past-results.2004.html,"Tiburon GC, Naples, Florida",FranklinTempletonShootout,2004,Nov 12 2004,PGA,2004,FranklinTempletonShootoutPGA2004
Nov 21 2004,https://www.pgatour.com/tournaments/isps-handa-melbourne-world-cup-of-golf/past-results.2004.html,"Real Club de Golf de Sevilla, Seville,  Spain",WorldGolfChampionships-WorldCup,2004,Nov 18 2004,PGA,2004,WorldGolfChampionships-WorldCupPGA2004
Nov 22 2004,,"Reflection Bay Course, Henderson, Nevada",Wendy's3TourChallenge,2004,Nov 22 2004,PGA,2004,Wendy's3TourChallengePGA2004
Oct 14 2018,https://www.pgatour.com/tournaments/cimb-classic.html,"TPC Kuala Lumpur, Kuala Lumpur, MAS",CIMBClassic,2019,Oct 11 2018,PGA,2018,CIMBClassicPGA2019
Oct 21 2018,https://www.pgatour.com/tournaments/the-cj-cup-at-nine-bridges.html,"Nine Bridges, Jeju Island, KOR",THECJCUP@NINEBRIDGES,2019,Oct 18 2018,PGA,2018,THECJCUP@NINEBRIDGESPGA2019
Oct 28 2018,https://www.pgatour.com/tournaments/sanderson-farms-championship.html,"CC of Jackson, Jackson, MS",SandersonFarmsChampionship,2019,Oct 25 2018,PGA,2018,SandersonFarmsChampionshipPGA2019
Oct 28 2018,https://www.pgatour.com/tournaments/wgc-hsbc-champions.html,"Sheshan International GC, Shanghai, CHN",WorldGolfChampionships-HSBCChampions,2019,Oct 25 2018,PGA,2018,WorldGolfChampionships-HSBCChampionsPGA2019
Nov 4 2018,https://www.pgatour.com/tournaments/shriners-hospitals-for-children-open.html,"TPC Summerlin, Las Vegas, NV",ShrinersHospitalsforChildrenOpen,2019,Nov 1 2018,PGA,2018,ShrinersHospitalsforChildrenOpenPGA2019
Nov 11 2018,https://www.pgatour.com/tournaments/mayakoba-golf-classic.html,"El Camaleon GC, Playa del Carmen, MEX",MayakobaGolfClassic,2019,Nov 8 2018,PGA,2018,MayakobaGolfClassicPGA2019
Nov 28 2004,,"Jung Mun GC, Jeju Island,  ",ShinhanKoreaGolfChampionship,2004,Nov 25 2004,PGA,2004,ShinhanKoreaGolfChampionshipPGA2004
Nov 28 2004,,"Trilogy GC, La Quinta, California",MerrillLynchSkinsGame,2004,Nov 27 2004,PGA,2004,MerrillLynchSkinsGamePGA2004
Dec 6 2004,,"PGA West Stadium Course, La Quinta, California",PGATOURQualifyingTournament,2004,Dec 1 2004,PGA,2004,PGATOURQualifyingTournamentPGA2004
Dec 5 2004,,"Trump International, Miami, Florida",SkillsChallenge,2004,Dec 3 2004,PGA,2004,SkillsChallengePGA2004
Dec 12 2004,https://www.pgatour.com/tournaments/hero-world-challenge/past-results.2004.html,"Sherwood CC, Thousand Oaks, California",TargetWorldChallenge,2004,Dec 9 2004,PGA,2004,TargetWorldChallengePGA2004
Nov 18 2018,https://www.pgatour.com/tournaments/the-rsm-classic.html,"Sea Island Resort (Seaside), Sea Island, GA",TheRSMClassic,2019,Nov 15 2018,PGA,2018,TheRSMClassicPGA2019
Nov 25 2018,https://www.pgatour.com/tournaments/isps-handa-melbourne-world-cup-of-golf.html,"The Metropolitan Golf Club, South Oakleigh, Victoria, AUS",ISPSHandaMelbourneWorldCupofGolf,2019,Nov 22 2018,PGA,2018,ISPSHandaMelbourneWorldCupofGolfPGA2019
Nov 23 2018,https://www.pgatour.com/news/2018/08/22/tiger-woods-phil-mickelson-head-to-head-match.html,"Shadow Creek Golf Course, Las Vegas, NV",Tigervs.Phil,2019,Nov 23 2018,PGA,2018,Tigervs.PhilPGA2019
Dec 2 2018,https://www.pgatour.com/tournaments/hero-world-challenge.html,"Albany, New Providence, BAH",HeroWorldChallenge,2019,Nov 29 2018,PGA,2018,HeroWorldChallengePGA2019
Dec 9 2018,https://www.pgatour.com/tournaments/qbe-shootout.html,"Tiburón GC, Naples, FL",QBEShootout,2019,Dec 7 2018,PGA,2018,QBEShootoutPGA2019
Jan 6 2019,https://www.pgatour.com/tournaments/sentry-tournament-of-champions.html,"Plantation Course at Kapalua, Kapalua, Maui, HI",SentryTournamentofChampions,2019,Jan 3 2019,PGA,2019,SentryTournamentofChampionsPGA2019
Jan 13 2019,https://www.pgatour.com/tournaments/sony-open-in-hawaii.html,"Waialae CC, Honolulu, HI",SonyOpeninHawaii,2019,Jan 10 2019,PGA,2019,SonyOpeninHawaiiPGA2019
Jan 20 2019,https://www.pgatour.com/tournaments/desert-classic.html,"Stadium Course, La Quinta, CA",DesertClassic,2019,Jan 17 2019,PGA,2019,DesertClassicPGA2019
Jan 27 2019,https://www.pgatour.com/tournaments/farmers-insurance-open.html,"Torrey Pines GC (South), San Diego, CA",FarmersInsuranceOpen,2019,Jan 24 2019,PGA,2019,FarmersInsuranceOpenPGA2019
Feb 3 2019,https://www.pgatour.com/tournaments/waste-management-phoenix-open.html,"TPC Scottsdale, Scottsdale, AZ",WasteManagementPhoenixOpen,2019,Jan 31 2019,PGA,2019,WasteManagementPhoenixOpenPGA2019
